id,channel,message,ai_response,tmr
236,whatsapp,hacen envios a todo el pais?,"¡Hola Anotador E2! Sí, hacemos envíos a todo el territorio argentino. El costo de envío se calcula en el checkout según tu código postal. ¿Hay algo más en lo que te pueda ayudar?",1.334
238,whatsapp,cuanto tarda el envio? porque el mio ya lleva 8 dias,"¡Hola Anotador E2! Te cuento que los envíos dentro de Argentina suelen tardar entre 3 y 7 días hábiles. Como ya pasaron 8 días, lamento la demora. ¿Me pasás el número de tu pedido para que pueda verificar el estado del envío y ayudarte con esto?",1.721
239,whatsapp,puedo pagar en cuotas?,"¡Hola Anotador E2! Sí, podés pagar en cuotas con tarjetas de crédito Visa, Mastercard y American Express. Ofrecemos hasta 12 cuotas sin interés en productos seleccionados y las cuotas disponibles se muestran en el checkout. ¿Necesitás ayuda con algo más?",1.480
243,whatsapp,cual es la politica de cambios?,"¡Hola Anotador E2! Te cuento que podés cambiar un producto dentro de los 30 días de recibido, siempre que esté en su embalaje original y sin uso. Si el error fue nuestro, los gastos de envío del cambio corren por nuestra cuenta. ¿Hay algo más en lo que te pueda ayudar?",1.940
246,whatsapp,tienen garantia los productos?,"¡Hola Anotador E2! Todos nuestros productos tienen garantía oficial del fabricante, generalmente 12 meses. Es importante que guardes tu comprobante de compra. ¿Hay algo más en lo que pueda ayudarte?",1.427
250,whatsapp,hacen factura A?,"¡Hola Anotador E2! Sí, emitimos factura A para responsables inscriptos. Durante el checkout podés elegir el tipo de comprobante e ingresar el CUIT y la razón social de tu empresa. ¿Te gustaría saber algo más?",1.521
253,whatsapp,cuanto sale el envio a cordoba?,"¡Hola Anotador E2! El costo de envío a Córdoba se calcula en el checkout, según tu código postal. Una vez que ingreses tu dirección, se mostrará el costo exacto del envío. ¿Hay algo más en lo que te pueda ayudar?",1.732
254,whatsapp,"hola, compre ayer y queria saber si me pueden hacer factura A","¡Hola Anotador E2! Sí, podemos emitir factura A para responsables inscriptos. Durante el checkout, tenés que seleccionar el tipo de comprobante y completar tu CUIT y razón social. Si necesitás ayuda con tu pedido, no dudes en decírmelo. ¿Hay algo más en lo que te pueda ayudar?",1.643
258,whatsapp,aceptan mercado pago?,"¡Hola Anotador E2! Sí, aceptamos MercadoPago como método de pago. Podés usarlo de forma segura al realizar tu compra en nuestra tienda. Si tenés alguna otra consulta, no dudes en decírmelo.",1.380
262,whatsapp,cuanto tarda el envio normalmente?,"¡Hola Anotador E2! Los envíos dentro de Mendoza tardan entre 1 y 3 días hábiles, y para el resto del país, entre 3 y 7 días hábiles una vez que el pedido es despachado. Te notificamos por email cuando tu pedido salga de nuestro depósito. ¿Hay algo más en lo que te pueda ayudar?",1.627
265,whatsapp,si no estoy en casa cuando llega el pedido que pasa?,"¡Hola Anotador E2! Si no estás en casa cuando llega el pedido, el transportista dejará un aviso y hará un segundo intento al día siguiente. Si en ese segundo intento tampoco podés recibirlo, el paquete quedará disponible para su retiro en la sucursal más cercana durante 5 días hábiles. ¿Hay algo más en lo que te pueda ayudar?",1.770
269,whatsapp,hacen envios internacionales?,"¡Hola Anotador E2! Por el momento, solo hacemos envíos dentro de Argentina. Estamos trabajando para expandir a países limítrofes próximamente. ¿Hay algo más en lo que te pueda ayudar?",1.239
273,whatsapp,es seguro pagar con tarjeta en la web?,"¡Hola Anotador E2! Sí, es totalmente seguro pagar con tarjeta en nuestra web. Usamos encriptación SSL y procesamos los pagos a través de MercadoPago, que cumple con los estándares de seguridad. No almacenamos los datos de tu tarjeta. ¿Hay algo más en lo que te pueda ayudar?",1.350
277,whatsapp,tienen local fisico para retirar?,¡Hola! Actualmente somos una tienda 100% online y no contamos con un local físico para retiros. Todos los pedidos se despachan desde nuestro depósito en Mendoza. ¿Hay algo más en lo que te pueda ayudar?,1.237
280,whatsapp,cuantos dias tengo para devolver algo?,"¡Hola Anotador E2! Tenés 30 días desde la recepción para iniciar una devolución. Si decidís devolver algo, escribinos indicando tu número de pedido y el motivo, y te guiamos en el proceso. ¿Hay algo más en lo que te pueda ayudar?",1.414
284,whatsapp,aceptan transferencia bancaria?,"¡Hola Anotador! Sí, aceptamos transferencia bancaria como método de pago. Es una opción segura y fácil de utilizar. ¿Hay algo más en lo que te pueda ayudar?",1.395
287,whatsapp,los precios incluyen iva?,"¡Hola Anotador E2! Sí, todos nuestros precios incluyen IVA. Cuando realices tu compra, el total que verás ya tiene el impuesto incluido. ¿Hay algo más en lo que te pueda ayudar?",1.287
291,whatsapp,hasta cuantas cuotas sin interes hay?,"¡Hola Anotador E2! Podés pagar en hasta 12 cuotas sin interés en productos seleccionados, utilizando tarjetas de crédito Visa, Mastercard y American Express. Las cuotas disponibles se muestran en el checkout. ¿Te puedo ayudar con algo más?",1.313
294,whatsapp,trabajan con oca o andreani?,"¡Hola Anotador E2! Sí, trabajamos con OCA y Andreani para los envíos. Ambos son confiables y nos ayudan a asegurar que tu pedido llegue a tiempo. ¿Hay algo más en lo que te pueda ayudar?",1.548
298,whatsapp,puedo cambiar la direccion de envio despues de comprar?,"¡Hola Anotador E2! Una vez que el pedido ha sido realizado, no es posible cambiar la dirección de envío. Si te das cuenta del error, te recomendamos cancelar el pedido (si está dentro del plazo) y realizar uno nuevo con la dirección correcta. ¿Te gustaría que te ayude con algo más?",1.455
301,whatsapp,que metodos de pago aceptan?,"¡Hola Anotador E2! Aceptamos los siguientes métodos de pago:
1. **Tarjeta de crédito**: Visa, Mastercard y American Express.
2. **Tarjeta de débito**
3. **Transferencia bancaria**
4. **MercadoPago**

Todos los pagos son procesados de forma segura. ¿Hay algo más en lo que te pueda ayudar?",2.915
305,whatsapp,la garantia la cubre la marca o ustedes?,"¡Hola Anotador E2! La garantía de nuestros productos es oficial del fabricante. Esto significa que si hay algún defecto de fabricación, deberás contactarte con nosotros, y nosotros gestionaremos el servicio de garantía con la marca. Asegurate de mantener el comprobante de compra. ¿Hay algo más en lo que te pueda ayudar?",1.973
309,whatsapp,hacen descuento por pago en efectivo?,"¡Hola Anotador E2! Actualmente no ofrecemos descuentos adicionales por pago en efectivo. Sin embargo, sí tenés la opción de pagar en cuotas con tarjeta de crédito en productos seleccionados. ¿Hay algo más en lo que pueda ayudarte?",1.373
312,whatsapp,cuanto cuesta el envio si compro mas de un producto?,"¡Hola Anotador E2! El costo de envío se calcula automáticamente en el checkout según tu código postal y el peso total de los productos. Si comprás más de un producto, puede que se aplique un solo costo de envío, lo que a veces es más conveniente. ¿Hay algo más en lo que te pueda ayudar?",1.626
316,whatsapp,puedo retirar por sucursal?,"¡Hola Anotador E2! Por el momento somos una tienda 100% online y no contamos con opciones de retiro en sucursal. Todos los pedidos se despachan desde nuestro depósito en Mendoza. Si tenés alguna otra consulta, no dudes en preguntar.",1.321
319,whatsapp,si el producto no me gusta lo puedo devolver?,"¡Hola Anotador E2! Sí, podés devolver un producto si no te gusta. Tenés 30 días desde la recepción para iniciar la devolución. Solo necesitás escribinos indicando tu número de pedido y el motivo, y te guiamos en el proceso. ¿Hay algo más en lo que te pueda ayudar?",1.474
323,whatsapp,tienen atencion telefonica?,"¡Hola Anotador E2! Actualmente, no contamos con atención telefónica, pero podés contactarnos por WhatsApp, Telegram o email. Estamos aquí para ayudarte en lo que necesites. ¿Hay algo más en lo que te pueda asistir?",1.323
326,whatsapp,cual es el horario de atencion?,"¡Hola Anotador E2! Nuestro horario de atención es de lunes a viernes de 9 a 18 hs. Si tenés alguna consulta o necesitas ayuda, no dudes en escribirme. ¿Hay algo más en lo que te pueda ayudar?",1.300
330,whatsapp,emiten factura B?,"¡Hola Anotador E2! Sí, emitimos factura B para nuestros clientes. Durante el proceso de compra, podés seleccionar el tipo de comprobante que necesitás. ¿Te gustaría saber algo más?",1.442
334,whatsapp,los envios son con seguro?,"¡Hola Anotador E2! Los envíos que realizamos no incluyen seguro de manera automática. Sin embargo, podés optar por agregar un seguro en el proceso de checkout si deseas proteger tu paquete. ¿Hay algo más en lo que pueda ayudarte?",1.410
337,whatsapp,cuanto demora el reintegro de una devolucion?,¡Hola Anotador E2! El reintegro de una devolución suele demorarse entre 5 y 10 días hábiles desde que recibimos el producto en nuestro depósito. Te enviamos un email de confirmación una vez que se procesa. ¿Puedo ayudarte con algo más?,1.380
341,whatsapp,puedo comprar sin registrarme?,"¡Hola Anotador E2! Sí, podés comprar sin registrarte en nuestra tienda online. Solo tenés que completar tus datos de envío y pago al momento de realizar la compra. Si necesitás ayuda en el proceso, no dudes en preguntarme. ¿Hay algo más en lo que te pueda ayudar?",1.912
345,whatsapp,hacen envio gratis a partir de cierto monto?,"¡Hola Anotador E2! Actualmente, no ofrecemos envíos gratis a partir de un monto específico. El costo del envío se calcula en el checkout según tu código postal. Si tenés alguna otra consulta o necesitás más información, ¡aquí estoy para ayudar!",1.436
349,whatsapp,venden productos usados o todos son nuevos?,"¡Hola Anotador E2! Todos nuestros productos son 100% originales y nuevos, con garantía oficial del fabricante. Si tenés alguna otra duda o pregunta, no dudes en consultarme. ¡Estoy aquí para ayudarte!",1.460
352,whatsapp,si pago con transferencia cuando despachan?,"¡Hola Anotador E2! Si pagás con transferencia, despachamos tu pedido una vez que tengamos confirmación del pago, lo que suele tardar unas 24 horas hábiles. Te avisamos por email cuando tu pedido está en camino. ¿Hay algo más en lo que te pueda ayudar?",1.682
356,whatsapp,tienen reembolso si el producto llega roto?,"¡Hola Anotador E2! Entiendo que esta es una inquietud importante. Si el producto llega roto, ofrecemos un proceso de devolución y reembolso. Solo tenés que contactarnos con tu número de pedido y una descripción del problema, y te guiaremos en el proceso. ¿Necesitás ayuda con algo más?",1.971
357,whatsapp,"buenas, se puede cancelar un pedido ya pagado?","¡Hola Anotador E2! Podés cancelar tu pedido sin costo dentro de las 2 horas de haberlo realizado, siempre que no haya sido despachado. Si ya pasaron esas 2 horas, tendremos que gestionar una devolución normal. ¿Hay algo más en lo que te pueda ayudar?",1.487
359,whatsapp,puedo pedir que lo dejen con el portero?,"¡Hola Anotador E2! Sí, podés pedir que tu paquete sea dejado con el portero. Te sugerimos que lo especifiques en las observaciones al momento de realizar el pedido. Si ya lo compraste, podés comunicarte con el transportista para solicitarlo. ¿Puedo ayudarte con algo más?",1.674
362,whatsapp,"me llego un mail que decia confirmado, eso significa que ya lo mandaron?","¡Hola Anotador E2! Recibir un email de 'confirmado' significa que tu pedido ha sido procesado correctamente. Sin embargo, para saber si ya fue despachado, te recomiendo que esperes un email adicional que te informará sobre el envío y te dará un número de seguimiento. ¿Necesitás ayuda con algo más?",1.592
363,whatsapp,aceptan tarjeta de debito?,"¡Hola Anotador E2! Sí, aceptamos tarjeta de débito como método de pago. Podés pagar de forma segura a través de nuestro sistema. ¿Hay algo más en lo que te pueda ayudar?",2.514
365,whatsapp,"buenas, cuando estiman que llega el pedido a mendoza?",¡Hola Anotador E2! Los envíos dentro de Mendoza tardan entre 1 y 3 días hábiles una vez despachado el pedido. Te notificamos por email tan pronto como tu pedido sale de nuestro depósito. ¿Te puedo ayudar con algo más?,1.364
370,whatsapp,cuanto tiempo de garantia tienen las notebooks?,"¡Hola Anotador E2! Las notebooks tienen garantía oficial del fabricante, que generalmente es de 12 meses. Es importante que guardes tu comprobante de compra. ¿Te gustaría saber algo más sobre las notebooks o algún otro producto?",1.189
372,whatsapp,hola queria saber si les llego mi transferencia,"¡Hola Anotador E2! Para verificar si tu transferencia ya ha llegado, necesitaría saber tu número de pedido. ¿Podés compartírmelo, por favor? Así puedo ayudarte mejor.",1.281
374,whatsapp,como se calcula el costo de envio?,¡Hola Anotador E2! El costo de envío se calcula en el checkout según tu código postal y el peso del paquete. Asegurate de ingresar tu dirección para ver el monto exacto antes de finalizar la compra. ¿Hay algo más en lo que pueda ayudarte?,1.262
378,whatsapp,puedo pagar contra entrega?,"¡Hola Anotador E2! Actualmente no ofrecemos la opción de pago contra entrega. Aceptamos tarjeta de crédito, débito, transferencia bancaria y MercadoPago como métodos de pago disponibles. Si tenés alguna otra consulta, ¡no dudes en preguntar!",1.296
